arvlLineNm,arvlStnCd,arvlStnNm,arvlStnNo,brlnNm,crtrYmd,dptreLineNm,dptreStnCd,dptreStnNm,dptreStnNo,etrnYn,lineNm,lnkgTrainno,stnCd,stnNm,stnNo,tmprTmtblYn,trainArvlTm,trainDptreTm,trainKnd,trainno,upbdnbSe,vldBgngDt,vldEndDt,wkndSe
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4701,북한산우이,941,N,,05:30:00,,1002,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4702,솔밭공원,942,N,05:31:13,05:31:40,,1002,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4703,4·19민주묘지,943,N,05:32:47,05:33:15,,1002,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4704,가오리,944,N,05:34:32,05:35:01,,1002,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4705,화계,945,N,05:36:15,05:36:44,,1002,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4706,삼양,946,N,05:37:56,05:38:25,,1002,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4707,삼양사거리,947,N,05:40:05,05:40:34,,1002,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4708,솔샘,948,N,05:41:54,05:42:23,,1002,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4709,북한산보국문,949,N,05:44:23,05:44:53,,1002,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4710,정릉,950,N,05:46:38,05:47:07,,1002,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4711,성신여대입구,951,N,05:48:35,05:49:19,,1002,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4712,보문,952,N,05:50:45,05:51:24,,1002,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4713,신설동,953,N,05:53:22,,,1002,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4701,북한산우이,941,N,,05:42:00,,1004,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4702,솔밭공원,942,N,05:43:13,05:43:40,,1004,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4703,4·19민주묘지,943,N,05:44:47,05:45:15,,1004,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4704,가오리,944,N,05:46:32,05:47:01,,1004,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4705,화계,945,N,05:48:15,05:48:44,,1004,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4706,삼양,946,N,05:49:56,05:50:25,,1004,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4707,삼양사거리,947,N,05:52:05,05:52:34,,1004,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4708,솔샘,948,N,05:53:54,05:54:23,,1004,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4709,북한산보국문,949,N,05:56:23,05:56:53,,1004,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4710,정릉,950,N,05:58:38,05:59:07,,1004,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4711,성신여대입구,951,N,06:00:35,06:01:19,,1004,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4712,보문,952,N,06:02:45,06:03:24,,1004,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4713,신설동,953,N,06:05:22,,,1004,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4701,북한산우이,941,N,,05:54:00,,1006,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4702,솔밭공원,942,N,05:55:13,05:55:40,,1006,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4703,4·19민주묘지,943,N,05:56:47,05:57:15,,1006,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4704,가오리,944,N,05:58:32,05:59:01,,1006,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4705,화계,945,N,06:00:15,06:00:44,,1006,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4706,삼양,946,N,06:01:56,06:02:25,,1006,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4707,삼양사거리,947,N,06:04:05,06:04:34,,1006,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4708,솔샘,948,N,06:05:54,06:06:23,,1006,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4709,북한산보국문,949,N,06:08:23,06:08:53,,1006,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4710,정릉,950,N,06:10:38,06:11:07,,1006,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4711,성신여대입구,951,N,06:12:35,06:13:19,,1006,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4712,보문,952,N,06:14:45,06:15:24,,1006,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4713,신설동,953,N,06:17:22,,,1006,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4701,북한산우이,941,N,,06:06:00,,1008,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4702,솔밭공원,942,N,06:07:13,06:07:40,,1008,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4703,4·19민주묘지,943,N,06:08:47,06:09:15,,1008,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4704,가오리,944,N,06:10:32,06:11:01,,1008,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4705,화계,945,N,06:12:15,06:12:44,,1008,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4706,삼양,946,N,06:13:56,06:14:25,,1008,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4707,삼양사거리,947,N,06:16:05,06:16:34,,1008,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4708,솔샘,948,N,06:17:54,06:18:23,,1008,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4709,북한산보국문,949,N,06:20:23,06:20:53,,1008,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4710,정릉,950,N,06:22:38,06:23:07,,1008,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4711,성신여대입구,951,N,06:24:35,06:25:19,,1008,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4712,보문,952,N,06:26:45,06:27:24,,1008,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4713,신설동,953,N,06:29:22,,,1008,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4701,북한산우이,941,N,,06:13:00,,1010,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4702,솔밭공원,942,N,06:14:13,06:14:40,,1010,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4703,4·19민주묘지,943,N,06:15:47,06:16:15,,1010,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4704,가오리,944,N,06:17:32,06:18:01,,1010,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4705,화계,945,N,06:19:15,06:19:44,,1010,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4706,삼양,946,N,06:20:56,06:21:25,,1010,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4707,삼양사거리,947,N,06:23:05,06:23:34,,1010,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4708,솔샘,948,N,06:24:54,06:25:23,,1010,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4709,북한산보국문,949,N,06:27:23,06:27:53,,1010,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4710,정릉,950,N,06:29:38,06:30:07,,1010,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4711,성신여대입구,951,N,06:31:35,06:32:19,,1010,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4712,보문,952,N,06:33:45,06:34:24,,1010,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4713,신설동,953,N,06:36:22,,,1010,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4701,북한산우이,941,N,,06:19:00,,1012,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4702,솔밭공원,942,N,06:20:13,06:20:40,,1012,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4703,4·19민주묘지,943,N,06:21:47,06:22:15,,1012,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4704,가오리,944,N,06:23:32,06:24:01,,1012,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4705,화계,945,N,06:25:15,06:25:44,,1012,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4706,삼양,946,N,06:26:56,06:27:25,,1012,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4707,삼양사거리,947,N,06:29:05,06:29:34,,1012,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4708,솔샘,948,N,06:30:54,06:31:23,,1012,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4709,북한산보국문,949,N,06:33:23,06:33:53,,1012,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4710,정릉,950,N,06:35:38,06:36:07,,1012,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4711,성신여대입구,951,N,06:37:35,06:38:19,,1012,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4712,보문,952,N,06:39:45,06:40:24,,1012,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4713,신설동,953,N,06:42:22,,,1012,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4701,북한산우이,941,N,,06:25:00,,1014,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4702,솔밭공원,942,N,06:26:13,06:26:40,,1014,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4703,4·19민주묘지,943,N,06:27:47,06:28:15,,1014,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4704,가오리,944,N,06:29:32,06:30:01,,1014,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4705,화계,945,N,06:31:15,06:31:44,,1014,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4706,삼양,946,N,06:32:56,06:33:25,,1014,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4707,삼양사거리,947,N,06:35:05,06:35:34,,1014,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4708,솔샘,948,N,06:36:54,06:37:23,,1014,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4709,북한산보국문,949,N,06:39:23,06:39:53,,1014,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4710,정릉,950,N,06:41:38,06:42:07,,1014,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4711,성신여대입구,951,N,06:43:35,06:44:19,,1014,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4712,보문,952,N,06:45:45,06:46:24,,1014,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4713,신설동,953,N,06:48:22,,,1014,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4701,북한산우이,941,N,,06:30:30,,1016,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4702,솔밭공원,942,N,06:31:43,06:32:10,,1016,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4703,4·19민주묘지,943,N,06:33:17,06:33:45,,1016,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4704,가오리,944,N,06:35:02,06:35:31,,1016,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4705,화계,945,N,06:36:45,06:37:14,,1016,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4706,삼양,946,N,06:38:26,06:38:55,,1016,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4707,삼양사거리,947,N,06:40:35,06:41:04,,1016,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4708,솔샘,948,N,06:42:24,06:42:53,,1016,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4709,북한산보국문,949,N,06:44:53,06:45:23,,1016,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4710,정릉,950,N,06:47:08,06:47:37,,1016,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4711,성신여대입구,951,N,06:49:05,06:49:49,,1016,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4712,보문,952,N,06:51:15,06:51:54,,1016,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4713,신설동,953,N,06:53:52,,,1016,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4701,북한산우이,941,N,,06:36:30,,1018,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4702,솔밭공원,942,N,06:37:43,06:38:10,,1018,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4703,4·19민주묘지,943,N,06:39:17,06:39:45,,1018,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4704,가오리,944,N,06:41:02,06:41:31,,1018,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4705,화계,945,N,06:42:45,06:43:14,,1018,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4706,삼양,946,N,06:44:26,06:44:55,,1018,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4707,삼양사거리,947,N,06:46:35,06:47:04,,1018,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4708,솔샘,948,N,06:48:24,06:48:53,,1018,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4709,북한산보국문,949,N,06:50:53,06:51:23,,1018,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4710,정릉,950,N,06:53:08,06:53:37,,1018,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4711,성신여대입구,951,N,06:55:05,06:55:49,,1018,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4712,보문,952,N,06:57:15,06:57:54,,1018,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4713,신설동,953,N,06:59:52,,,1018,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4701,북한산우이,941,N,,06:42:30,,1020,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4702,솔밭공원,942,N,06:43:43,06:44:10,,1020,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4703,4·19민주묘지,943,N,06:45:17,06:45:45,,1020,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4704,가오리,944,N,06:47:02,06:47:31,,1020,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4705,화계,945,N,06:48:45,06:49:14,,1020,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4706,삼양,946,N,06:50:26,06:50:55,,1020,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4707,삼양사거리,947,N,06:52:35,06:53:04,,1020,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4708,솔샘,948,N,06:54:24,06:54:53,,1020,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4709,북한산보국문,949,N,06:56:53,06:57:23,,1020,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4710,정릉,950,N,06:59:08,06:59:37,,1020,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4711,성신여대입구,951,N,07:01:05,07:01:49,,1020,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4712,보문,952,N,07:03:12,07:03:51,,1020,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4713,신설동,953,N,07:05:46,,,1020,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4701,북한산우이,941,N,,06:48:00,,1022,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4702,솔밭공원,942,N,06:49:13,06:49:40,,1022,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4703,4·19민주묘지,943,N,06:50:47,06:51:15,,1022,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4704,가오리,944,N,06:52:32,06:53:01,,1022,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4705,화계,945,N,06:54:15,06:54:44,,1022,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4706,삼양,946,N,06:55:56,06:56:25,,1022,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4707,삼양사거리,947,N,06:58:05,06:58:34,,1022,상행,2025-05-01T05:00:00,,평일
우이신설경전철,4713,신설동,953,,20250619,우이신설경전철,4701,북한산우이,941,N,우이신설경전철,,4708,솔샘,948,N,06:59:54,07:00:23,,1022,상행,2025-05-01T05:00:00,,평일
